Plant species,Total # of eggs oviposited on plant,
Datura wrightii,11,
Datura wrightii,11,
Datura wrightii,18,
Datura wrightii,12,
Datura wrightii,13,
Datura wrightii,9,
Datura wrightii,15,
Datura wrightii,28,
Datura wrightii,9,
Datura wrightii,8,
Datura wrightii,10,
Datura wrightii,26,
Datura wrightii,0,
Datura wrightii,2,
Datura wrightii,2,
Datura wrightii,12,
Datura wrightii,21,
Datura wrightii,2,
Datura wrightii,12,
Datura wrightii,0,
Datura wrightii,19,
Datura wrightii,7,
Datura wrightii,5,
Datura wrightii,1,
Datura wrightii,3,
Datura wrightii,10,
Datura wrightii,7,
Datura wrightii,20,
Datura wrightii,21,
Datura wrightii,1,
Datura wrightii,12,
Datura wrightii,19,
Datura wrightii,4,
Datura wrightii,6,
Datura wrightii,0,
Datura wrightii,4,
Datura wrightii,5,
Datura wrightii,1,
Datura wrightii,4,
Datura wrightii,21,
Datura wrightii,2,
Datura wrightii,9,
Datura wrightii,0,
Datura wrightii,3,
Datura wrightii,12,
Datura wrightii,6,
Datura wrightii,6,
Datura wrightii,3,
Datura wrightii,7,
Datura wrightii,8,
Datura wrightii,7,
Datura wrightii,9,
Datura wrightii,2,
Datura wrightii,12,
Datura wrightii,8,
Datura wrightii,9,
Datura wrightii,2,
Datura wrightii,16,
Datura wrightii,12,
Datura wrightii,14,
Datura wrightii,19,
Datura wrightii,5,
Datura wrightii,1,
Datura wrightii,12,
Datura wrightii,13,
Datura wrightii,11,
Datura wrightii,14,
Datura wrightii,2,
Datura wrightii,18,
Datura wrightii,11,
Datura wrightii,12,
Datura wrightii,6,
Datura wrightii,9,
Datura wrightii,16,
Datura wrightii,24,
Datura wrightii,16,
Datura wrightii,24,
Datura wrightii,11,
Datura wrightii,25,
Datura wrightii,16,
Datura wrightii,12,
Datura wrightii,13,
Datura wrightii,3,
Datura wrightii,25,
Datura wrightii,21,
Datura wrightii,40,
Datura wrightii,20,
Datura wrightii,12,
Datura wrightii,8,
Datura discolor,5,
Datura discolor,16,
Datura discolor,9,
Datura discolor,0,
Datura discolor,1,
Datura discolor,14,
Datura discolor,2,
Datura discolor,8,
Datura discolor,0,
Datura discolor,0,
Datura discolor,1,
Datura discolor,13,
Datura discolor,4,
Datura discolor,8,
Datura discolor,1,
Datura discolor,27,
Datura discolor,20,
Datura discolor,10,
Datura discolor,8,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,11,
Datura discolor,1,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,0,
Datura discolor,2,
Datura discolor,4,
Datura discolor,5,
Datura discolor,2,
Datura discolor,14,
Datura discolor,8,
Datura discolor,11,
Datura discolor,6,
Datura discolor,0,
Datura discolor,1,
Datura discolor,5,
Datura discolor,17,
Datura discolor,5,
Datura discolor,11,
Datura discolor,0,
Datura discolor,16,
Datura discolor,4,
Datura discolor,20,
